id,title,item_group_id,gtin,availability,description,condition,image_link,link,brand,price,sale_price,google_product_category,size,product_type,image2_link,link2,image3_link,link3,integer 1,Decimal
rdn-serum-foundation-23-y-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwba886f8a/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-23-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=2.3%20Y&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 2.3 Y,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwba886f8a/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-23-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=2.3%20Y&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwba886f8a/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-23-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=2.3%20Y&quantity=1,122,122.1
rdn-serum-foundation-30-n-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw805e5712/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-n-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20N&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.0 N,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw805e5712/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-n-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20N&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw805e5712/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-n-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20N&quantity=1,123,123.1
rdn-serum-foundation-30-p-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwfbdfd280/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-p-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20P&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.0 P,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwfbdfd280/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-p-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20P&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwfbdfd280/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-p-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20P&quantity=1,124,124.1
rdn-serum-foundation-30-r-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwacdfb704/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20R&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.0 R,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwacdfb704/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20R&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwacdfb704/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20R&quantity=1,125,125.1
rdn-serum-foundation-30-y-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw61999190/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20Y&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.0 Y,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw61999190/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20Y&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw61999190/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-30-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.0%20Y&quantity=1,126,126.1
rdn-serum-foundation-31-r-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw777a4739/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-31-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.1%20R&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.1 R,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw777a4739/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-31-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.1%20R&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw777a4739/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-31-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.1%20R&quantity=1,127,127.1
rdn-serum-foundation-31-y-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw0be6fff0/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-31-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.1%20Y&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.1 Y,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw0be6fff0/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-31-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.1%20Y&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw0be6fff0/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-31-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.1%20Y&quantity=1,128,128.1
rdn-serum-foundation-32-n-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dweb95764c/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-n-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20N&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.2 N,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dweb95764c/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-n-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20N&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dweb95764c/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-n-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20N&quantity=1,129,129.1
rdn-serum-foundation-32-r-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw6f26e14f/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20R&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.2 R,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw6f26e14f/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20R&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dw6f26e14f/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-r-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20R&quantity=1,130,130.1
rdn-serum-foundation-32-y-30ml,Serum Foundation,100445,7.70E+11,out of stock,A light foundation with a natural finish.,new,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwa286f114/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20Y&quantity=1,The Ordinary,7.50 USD,7.50 USD,2915,30ml 3.2 Y,Foundation,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwa286f114/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20Y&quantity=1,https://theordinary.com/dw/image/v2/BFKJ_PRD/on/demandware.static/-/Sites-deciem-master/default/dwa286f114/Images/products/The%20Ordinary/Colours/rdn-serum-foundation-32-y-30ml.png?sw=800&sh=800&sm=fit&bgcolor=ffffff,https://theordinary.com/en-us/serum-foundation-ss-100445.html?dwvar_100445_size=30ml&dwvar_100445_color=3.2%20Y&quantity=1,131,131.1
